Category,Merchant Name,Address,Location
Patio de comida,DUNKIN - ESTACIÓN CENTRAL TERMINAL,SAN FRANCISCO BORJA 184 LOCAL N° P 228,Estacion Central
Minimarket,XS MARKET TREN ALAMEDA,LIBERTADOR BERNARDO O'HIGGINS 3170 MODULO 2,Estacion Central
Patio de comida,KFC PASEO ESTACION,LIBERTADOR BERNARDO O´HIGGINS 3170 LOCAL 21,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 3-M,LIBERTADOR BERNARDO O´HIGGINS 3201,Estacion Central
Patio de comida,DOGGIS PASEO ESTACION,EXPOSICION 135 LOCAL 1275-C,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 6,EXPOSICION 98,Estacion Central
Patio de comida,DOGGIS MALL EXPOSICION,EXPOSICION 40 LOCAL 82 LOCAL 315 NIVEL 3,Estacion Central
Restaurantes,SAN CAMILO SUCURSAL 1,LIBERTADOR BERNARDO O´HIGGINS 2902 SAN ALFONSO,Estacion Central
Restaurantes,AKIKOMO SUSHI,ROLANDO PETERSEN 1680,Cerro Navia
Casinos,KIOSCO 6,CALLE SANTA TERESA 1786,Estacion Central
Supermercados,ERBI 9004,SAN PABLO 3271,Santiago
Supermercados,CASTAÑO SAN BORJA,SAN FRANCISCO DE BORJA 122 LOCAL 493 - 499,Santiago
Supermercados,LIDER EXPRESS SAN PABLO,SAN PABLO 2902,Santiago
Supermercados,LIDER EXPRESS CARRASCAL,"CARRASCAL 4436, QUINTA NORMAL 4436",Quinta Normal
Supermercados,LIDER EXPRESS LAGUNA SUR II,LAGUNA SUR 7383 Esquina Juan Guzman,Pudahuel
Supermercados,UNIMARC GONZALO BULNES - QUINTA NORMAL,GONZALO BULNES 2407,Quinta Normal
Supermercados,ALVI SAN PABLO,SAN PABLO 8685,Pudahuel
Supermercados,SANTA ISABEL BERNARDO O'HIGGINS 3390,LIBERTADOR BERNARDO O HIGGINS 3390,Estacion Central
Supermercados,LIDER MATUCANA,MATUCANA 1202,Quinta Normal
Supermercados,CASTANO S-BOR,SAN BORJA 122 LOCAL P-229 BOLETERIA 2DO PISO,Estacion Central
Supermercados,SANTA ISABEL ISLA PORTEZUELO,ISLA PORTEZUELO 615,Pudahuel
Restaurantes,LA FABRICA DE LOS COMPLETOS,GORBEA 2071,Santiago
Restaurantes,NIKKEI KITAI SUSHI,AGUSTINAS 2798,Santiago
Restaurantes,RESTAURANT JAREK LIAN,ROSAS 2747 LOCAL 2,Santiago
Restaurantes,POLLO CHANG,ALAMEDA 2698 LOCAL 3,Santiago
Restaurantes,EL CHIMBOTANO 2522,SAN PABLO 2522,Santiago
Restaurantes,PISCIS,LIBERTADOR O´HIGGINS 2536,Santiago
Restaurantes,OTTO´S,BERNARDO OHIGGINS 2555,Santiago
Restaurantes,EL CHIMBOTANO,SAN PABLO 2401 2405,Santiago
Patio de comida,DUNKIN´ LOCAL BULNES,BULNES 178,Santiago
Restaurantes,BOLD BURGER,GRAJALES 2537,Santiago
Restaurantes,SAN CAMILO SUCURSAL 7,LIBERTADOR BERNARDO O´HIGGINS 2499,Santiago
Restaurantes,DIMAKY SUSHI FUSION,ALAMEDA 2467 LOCAL 5,Santiago
Casinos,JIF CONCESIONES ALIMENTICIAS LOCAL ESPAÑA,ESPAÑA 8,Santiago
Restaurantes,MERAKI DUOC ALAMEDA,ESPAÑA 8,Santiago
Restaurantes,CAFE CK,ESPAÑA 54,Santiago
Restaurantes,STOP CAFÉ GRAJALES,GRAJALES 2550 EDIFICIO L,Santiago
Restaurantes,ALOHA SANTIAGO,GRAJALES 2550 2538-2550,Santiago
Restaurantes,LUCHOS,GRAJALES 2506,Santiago
Restaurantes,KAZOKUNH SUSHI,MONEDA 2356,Santiago
Restaurantes,GLORIA DEL CARMEN DAZA SOTO,ALMTE. VILLARROEL 345 345,Santiago
Restaurantes,MAGAMARKET PORTUGAL SPA,PORTUGAL LOCAL 3 902,Santiago
Restaurantes,CAFETERIA BULNES,GENERAL BULNES 1 B,Santiago
Restaurantes,LA PARADA DEL BAJON,ESPAÑA 275,Santiago
Minimarket,MINIMARKET G&C,AVENIDA ESPAÑA 285,Santiago
Restaurantes,CAFE COPENHAGUE,CUMMING 260,Santiago
Restaurantes,BULE INVERSIONES SPA,SAZIE 2379 LOCAL 4,Santiago
Patio de comida,PIZZA PIZZA CUMMING 281,CUMMING 281 281,Santiago
Restaurantes,EL POLLO JUAN,SAZIE 2357,Santiago
Restaurantes,RESTAURANT BACCARA,REPUBLICA 19 19-33,Santiago
Restaurantes,TABERNA DE LA PIZZA X METRO,RICARDO CUMMING 73,Santiago
Restaurantes,A FUEGO RONEI,LIBERTADOR BERNARDO OHIGGINS 2298,Santiago
Restaurantes,KHANA KHAZANA CHILE LIMITADA,GRAJALES 2367,Santiago
Restaurantes,KUMARS KITCHEN SPA,GRAJALES 2367 GRAJALES,Santiago
Casinos,ACHOCLONADOS REPUBLICA,REPUBLICA 71 INTERIOR UDLA,Santiago
Patio de comida,DUNKIN´ REPUBLICA,CALLE REPUBLICA 20 LOC 1,Santiago
Puntos Azules,INVERSIONES G19 LIMITADA,REPUBLICA 20 LOCAL 2 CON ACCESO POR PASAJE REPUBLICA 2281,Santiago
Restaurantes,CHIKEN TEA REPUBLICA,REPUBLICA 62 LOC 54-62,Santiago
Patio de comida,SUBWAY,REPUBLICA 2275 LOC 2 EDIF CAPUAL (LIB BERNARDO OHIGGINS 2274),Santiago
Restaurantes,PABLO PERCY ROJAS ZAVALA,GRAJALES 2355,Santiago
Casinos,ZAPALLO CAFE,REPUBLICA 105,Santiago
