Category,Merchant Name,Address,City
Restaurantes,ELKIKA ILMENAU HERNANDO DE AGUIRRE,HERNANDO DE AGUIRRE 43 43-51,Providencia
Patio de comida,"PEDRO, JUAN & DIEGO COSTANERA CENTER",ANDRES BELLO 2447 LOCAL 5509,Providencia
Minimarket,XS MARKET LAS CONDES,APOQUINDO 4411 LOCAL 1,Las Condes
Patio de comida,XS MARKET METRO LOS DOMINICOS L1,APOQUINDO 8620 LOCAL M-02,Las Condes
Patio de comida,POLLO STOP COSTANERA CENTER,ANDRES BELLO 2447 LOCAL 5520,Providencia
Patio de comida,SAVORY MALL DEL CENTRO 1,PUENTE 689 TERCER NIVEL LOCAL 310,Santiago
Restaurantes,HONG FA,MANUEL ANTONIO MATTA 896,Santiago
Restaurantes,SABOR AL CUADRADO SANTIAGO,SAN DIEGO 295,Santiago
Restaurantes,POLLO CHANG,ALAMEDA 2698 LOCAL 3,Santiago
Casinos,CASINO USACH FACULTAD DE INGENIERIA,LIBERTADOR BERNARDO O'HIGGINS 3363,Santiago
Restaurantes,LIN TING,SANTO DOMINGO 769,Santiago
Minimarket,OXXO IMPERIO,AGUSTINAS 841,Santiago
Minimarket,OXXO LOS BARBECHOS,LAS CONDES 7430 LOCAL 4,Las Condes
Restaurantes,DELICIAS DE ALTAMAR,ANDES 2111,Santiago
Patio de comida,DOMINO U DE CHILE,AHUMADA 37,Santiago
Restaurantes,DOMINÓ FOOD TRUCK,APOQUINDO 4400 LOCAL 12,Las Condes
Restaurantes,TAVELLI,APOQUINDO 4820 LOCAL 102,Las Condes
Restaurantes,THE GREENS,AUGUSTO LEGUÍA NORTE 135 LOCAL 1,Las Condes
Restaurantes,BENDITO CAFE,PROVIDENCIA 1388 LOCAL 42,Providencia
Restaurantes,RELATIVO,VALENZUELA CASTILLO 1277,Providencia
Minimarket,PYM EXPRESS,LAS CONDES 14181,Las Condes
Patio de comida,PIZZA NAPOLI HOLANDA,HOLANDA 139,Providencia
Restaurantes,SPACIO 1 STAND ALONE U.ANDES,MONSEÑOR ÁLVARO DEL PORTILLO 12455,Las Condes
Patio de comida,SANTIAGO DOWNTOWN,LIBERTADOR BERNARDO OHIGGINS 1449 LOCAL 15,Santiago
